order_id,order_date,customer_id,zip,order_status,payment_method,device_type,order_source
41616,2013-01-02,142675,85015,delivered,credit_card,mobile,organic_search
41620,2013-01-02,40310,7031,delivered,cod,mobile,organic_search
41626,2013-01-02,43203,8840,delivered,credit_card,mobile,organic_search
41628,2013-01-02,10631,10314,delivered,credit_card,desktop,social_media
41641,2013-01-02,7819,18661,delivered,credit_card,desktop,email_campaign
41644,2013-01-02,44291,21229,delivered,paypal,tablet,paid_search
41651,2013-01-02,52164,28562,delivered,credit_card,desktop,social_media
41655,2013-01-02,62185,29070,delivered,paypal,mobile,organic_search
41673,2013-01-02,71155,35244,delivered,credit_card,tablet,paid_search
41675,2013-01-02,71511,35603,delivered,credit_card,tablet,social_media
41685,2013-01-02,70243,42261,delivered,paypal,mobile,organic_search
41686,2013-01-02,25511,43035,delivered,credit_card,tablet,email_campaign
41691,2013-01-02,36121,46996,delivered,credit_card,mobile,referral
41698,2013-01-02,102801,55038,cancelled,cod,desktop,email_campaign
41700,2013-01-02,117728,60084,cancelled,credit_card,mobile,referral
41718,2013-01-02,123453,77657,delivered,paypal,mobile,social_media
41736,2013-01-02,145261,87124,delivered,credit_card,mobile,organic_search
41745,2013-01-02,140567,91321,delivered,credit_card,mobile,paid_search
41753,2013-01-02,138196,92064,delivered,credit_card,mobile,organic_search
41755,2013-01-02,138785,92392,cancelled,cod,mobile,paid_search
41762,2013-01-02,139357,93309,delivered,paypal,desktop,direct
41765,2013-01-02,132875,93722,delivered,paypal,desktop,email_campaign
41767,2013-01-02,132873,93722,delivered,credit_card,desktop,paid_search
41772,2013-01-02,135112,95340,delivered,credit_card,tablet,paid_search
41773,2013-01-02,135136,95348,delivered,paypal,mobile,paid_search
41779,2013-01-02,147294,97229,created,credit_card,desktop,organic_search
41836,2013-01-02,91665,58503,delivered,cod,mobile,organic_search
41855,2013-01-02,128613,77449,delivered,credit_card,desktop,referral
41872,2013-01-02,156158,83858,delivered,credit_card,desktop,email_campaign
41874,2013-01-02,154509,84404,delivered,cod,desktop,email_campaign
41877,2013-01-02,144377,85901,delivered,credit_card,tablet,social_media
41890,2013-01-02,132777,93662,delivered,apple_pay,tablet,organic_search
41907,2013-01-02,58354,1034,shipped,paypal,desktop,organic_search
41910,2013-01-02,4204,19341,delivered,credit_card,mobile,email_campaign
41912,2013-01-02,62069,29036,delivered,paypal,mobile,referral
41921,2013-01-02,102042,71241,delivered,credit_card,desktop,organic_search
41922,2013-01-02,122898,75751,delivered,apple_pay,tablet,paid_search
41927,2013-01-02,146649,79936,cancelled,credit_card,tablet,referral
41931,2013-01-02,145220,87114,delivered,credit_card,tablet,organic_search
41934,2013-01-02,142362,90024,delivered,credit_card,desktop,paid_search
41936,2013-01-02,140681,91360,delivered,apple_pay,tablet,organic_search
41938,2013-01-02,132494,93267,delivered,credit_card,mobile,organic_search
41946,2013-01-02,134514,95062,delivered,credit_card,mobile,organic_search
41952,2013-01-02,148912,98146,delivered,credit_card,mobile,social_media
41959,2013-01-02,56628,6258,delivered,cod,desktop,organic_search
41964,2013-01-02,50028,27253,delivered,paypal,mobile,paid_search
41992,2013-01-02,153627,99217,delivered,paypal,mobile,organic_search
