order_id,order_date,customer_id,zip,order_status,payment_method,device_type,order_source
39924,2013-01-01,58586,1118,delivered,apple_pay,mobile,direct
39933,2013-01-01,58822,1475,delivered,credit_card,desktop,paid_search
39938,2013-01-01,59466,2364,delivered,credit_card,desktop,organic_search
39940,2013-01-01,59719,2648,cancelled,paypal,mobile,paid_search
39969,2013-01-01,48630,6902,delivered,credit_card,desktop,email_campaign
39993,2013-01-01,42750,8353,cancelled,paypal,mobile,paid_search
39999,2013-01-01,10631,10314,delivered,credit_card,mobile,social_media
40008,2013-01-01,11769,11552,delivered,apple_pay,desktop,social_media
40013,2013-01-01,11818,11566,delivered,paypal,tablet,paid_search
40029,2013-01-01,12242,11784,cancelled,cod,mobile,referral
40036,2013-01-01,14185,12533,delivered,credit_card,tablet,direct
40039,2013-01-01,14247,12553,cancelled,credit_card,desktop,paid_search
40049,2013-01-01,17068,13862,cancelled,credit_card,tablet,referral
40077,2013-01-01,1391,17066,delivered,paypal,tablet,paid_search
40082,2013-01-01,6362,17224,delivered,credit_card,desktop,direct
40092,2013-01-01,5579,17801,delivered,credit_card,mobile,social_media
40094,2013-01-01,5592,17813,delivered,credit_card,desktop,social_media
40095,2013-01-01,7297,18013,paid,paypal,mobile,paid_search
40099,2013-01-01,7400,18064,delivered,credit_card,mobile,social_media
40108,2013-01-01,4222,19348,shipped,credit_card,tablet,referral
40119,2013-01-01,65060,20001,returned,credit_card,mobile,organic_search
40137,2013-01-01,64489,20772,delivered,credit_card,mobile,social_media
40139,2013-01-01,43473,20774,delivered,apple_pay,mobile,paid_search
40140,2013-01-01,43474,20774,delivered,credit_card,desktop,paid_search
40157,2013-01-01,44061,21131,delivered,cod,mobile,referral
40160,2013-01-01,44131,21160,delivered,cod,mobile,organic_search
40162,2013-01-01,44132,21160,delivered,bank_transfer,tablet,social_media
40164,2013-01-01,44220,21215,delivered,credit_card,desktop,paid_search
40165,2013-01-01,44221,21215,delivered,paypal,mobile,social_media
40166,2013-01-01,44245,21220,returned,credit_card,tablet,social_media
40171,2013-01-01,45148,21561,delivered,credit_card,mobile,social_media
