order_id,order_date,customer_id,zip,order_status,payment_method,device_type,order_source
41788,2013-01-04,10940,10701,delivered,credit_card,mobile,email_campaign
41798,2013-01-04,52062,28532,delivered,cod,desktop,email_campaign
41799,2013-01-04,52059,28532,delivered,apple_pay,mobile,organic_search
41801,2013-01-04,52189,28572,delivered,paypal,desktop,organic_search
41805,2013-01-04,53957,30047,cancelled,credit_card,desktop,organic_search
41809,2013-01-04,23472,32514,delivered,credit_card,mobile,direct
41812,2013-01-04,18926,33705,delivered,credit_card,mobile,organic_search
41818,2013-01-04,19933,34208,cancelled,bank_transfer,desktop,referral
41819,2013-01-04,20184,34292,delivered,bank_transfer,desktop,organic_search
41821,2013-01-04,23143,34786,delivered,paypal,mobile,social_media
41842,2013-01-04,101494,70810,cancelled,credit_card,mobile,social_media
41852,2013-01-04,132087,77070,delivered,credit_card,mobile,organic_search
41860,2013-01-04,126679,79424,delivered,paypal,tablet,paid_search
41863,2013-01-04,109241,80228,delivered,credit_card,desktop,social_media
41893,2013-01-04,133882,94598,delivered,credit_card,desktop,paid_search
41905,2013-01-04,150379,98682,cancelled,cod,mobile,referral
41911,2013-01-04,68594,24503,delivered,credit_card,mobile,email_campaign
41913,2013-01-04,55755,31808,returned,credit_card,desktop,social_media
41915,2013-01-04,28440,44319,delivered,credit_card,desktop,paid_search
41916,2013-01-04,84903,50226,delivered,paypal,desktop,paid_search
41923,2013-01-04,125113,76033,delivered,cod,tablet,organic_search
41924,2013-01-04,132152,77083,delivered,credit_card,mobile,organic_search
41940,2013-01-04,132543,93291,cancelled,paypal,desktop,paid_search
41944,2013-01-04,133698,94553,cancelled,credit_card,tablet,email_campaign
41954,2013-01-04,149433,98335,delivered,credit_card,tablet,organic_search
41956,2013-01-04,59745,2653,paid,credit_card,mobile,social_media
41971,2013-01-04,85563,66006,delivered,bank_transfer,mobile,direct
41976,2013-01-04,123844,79109,returned,bank_transfer,desktop,paid_search
41990,2013-01-04,139538,93551,delivered,credit_card,tablet,social_media
41993,2013-01-04,153629,99217,delivered,credit_card,mobile,social_media
41997,2013-01-04,59952,2762,cancelled,paypal,mobile,paid_search
42002,2013-01-04,12185,11768,delivered,credit_card,desktop,paid_search
42006,2013-01-04,23,15205,delivered,credit_card,desktop,organic_search
42020,2013-01-04,39491,26201,delivered,credit_card,mobile,referral
